Players,Goals,FH,SH,FS,LS,H,A
Alan Shearer,260,117,143,88,96,173,87
Wayne Rooney,208,95,113,73,71,114,94
Andrew Cole,187,70,117,52,62,104,83
Sergio Aguero,180,88,92,59,43,104,76
Frank Lampard,177,76,101,55,66,92,85
Thierry Henry,175,82,93,54,61,120,55
Robbie Fowler,163,86,77,53,45,103,60
Jermain Defoe,162,56,106,46,68,96,66
Michael Owen,150,70,80,54,51,80,70
Les Ferdinand,149,73,76,58,51,93,56
Teddy Sheringham,147,65,82,54,39,83,64
Robin van Persie,144,70,74,51,53,77,67
Harry Kane,136,59,77,48,40,65,71
Jimmy Floyd Hasselbaink,127,69,58,45,40,77,50
Robbie Keane,126,52,74,47,42,77,49
Nicolas Anelka,125,64,61,44,40,69,56
Dwight Yorke,123,56,67,50,46,72,51
Steven Gerrard,120,41,79,37,43,69,51
Romelu Lukaku,113,45,68,33,40,64,49
Ian Wright,113,53,60,44,55,62,51
Dion Dublin,111,47,64,39,39,59,52
Emile Heskey,110,54,56,51,39,56,54
Ryan Giggs,109,50,59,37,37,49,60
Peter Crouch,108,55,53,38,43,61,47
Paul Scholes,107,48,59,43,26,59,48
Darren Bent,106,51,55,44,40,61,45
Didier Drogba,104,45,59,39,41,69,35
Matt Le Tissier,102,38,64,28,40,57,45
Jamie Vardy,99,36,63,35,33,52,47
Emmanuel Adebayor,97,49,48,37,32,47,50
Aiyegbeni Yakubu,96,40,56,33,31,65,31
Ruud van Nistelrooy,95,48,47,31,35,48,47
Dimitar Berbatov,94,39,55,37,24,60,34
Kevin Phillips,92,31,61,23,36,47,45
Mark Viduka,92,44,48,31,30,58,34
James Beattie,91,47,44,47,37,60,31
Ole-Gunnar Solskjaer,91,42,49,23,35,53,38
Dennis Bergkamp,87,42,45,36,30,46,41
Kevin Davies,87,41,46,36,33,57,30
Louis Saha,85,44,41,30,25,49,36
Eden Hazard,85,45,40,30,26,53,32
Fernando Torres,85,36,49,31,27,57,28
Cristiano Ronaldo,84,39,45,30,25,57,27
Carlos Tevez,84,44,40,29,30,55,29
Chris Sutton,83,46,37,28,25,45,38
Kevin Campbell,82,45,37,31,28,42,40
Gary Speed,81,41,40,35,24,47,34
Olivier Giroud,80,33,47,28,30,44,36
Sadio Mane,80,44,36,33,22,56,24
Craig Bellamy,79,35,44,31,27,38,41
Tony Cottee,78,33,45,30,33,45,33
Raheem Sterling,77,34,43,27,22,46,31
Daniel Sturridge,76,33,43,22,29,41,35
Theo Walcott,74,35,39,21,16,43,31
Gabriel Agbonlahor,73,34,39,29,29,33,40
Chris Armstrong,72,28,44,27,24,42,30
Mohamed Salah,72,32,40,23,23,48,24
Brian Deane,71,26,45,30,29,36,35
Christian Benteke,71,33,38,26,26,33,38
Eric Cantona,70,27,43,21,35,40,30
Duncan Ferguson,69,29,40,21,27,45,24
Luis Suarez,69,32,37,19,23,35,34
Kevin Nolan,69,36,33,29,28,39,30
Paolo Di Canio,66,23,43,20,29,42,24
