Players,Goals,Image
Alan Shearer,260,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F57348889%2F960x0.jpg
Wayne Rooney,208,https://d3nfwcxd527z59.cloudfront.net/content/uploads/2018/06/27151555/Wayne-Rooney-celebrates-scoring-goal-Manchester-United-Roma.jpg
Andrew Cole,187,https://lh4.googleusercontent.com/-bEgRTdvloec/VJVh6E6OnAI/AAAAAAAAHlw/5_Fbx4KSy04/w500-h310-no/EPL-top-scorer_Andrew-Cole.jpg
Sergio Aguero,180,https://i2-prod.manchestereveningnews.co.uk/incoming/article17592120.ece/ALTERNATES/s615/0_Aguero-1200357848.jpg
Frank Lampard,177,https://www.thesun.co.uk/wp-content/uploads/2017/02/nintchdbpict000296047466.jpg
Thierry Henry,175,https://cdn.shopify.com/s/files/1/0075/6878/5472/articles/henry_header_1024x1024.jpg?v=1545309142
Robbie Fowler,163,https://i2-prod.liverpoolecho.co.uk/incoming/article12361672.ece/ALTERNATES/s1200b/WA571299.jpg
Jermain Defoe,162,https://www.scotsman.com/images-e.jpimedia.uk/imagefetch/http://www.scotsman.com/webimage/Prestige.Item.1.75060396!image/image.jpg?width=640
Michael Owen,150,https://i2-prod.mirror.co.uk/incoming/article21088338.ece/ALTERNATES/s615b/0_Liverpool-v-Boro.jpg
Les Ferdinand,149,https://www.hamhigh.co.uk/polopoly_fs/1.6531596!/image/image.jpg_gen/derivatives/landscape_630/image.jpg
Teddy Sheringham,147,https://i2.wp.com/thesefootballtimes.co/wp-content/uploads/2016/09/Teddy-Sheringham.jpg?fit=1600%2C1035&ssl=1
Robin van Persie,144,https://images.daznservices.com/di/library/GOAL/93/f/robin-van-persie-arsenal_ejea600gnhcs1nklo16zbeav1.jpg?t=1603501812&quality=60&w=1200&h=800
Harry Kane,136,https://i.dailymail.co.uk/1s/2020/04/10/12/27039322-0-image-a-39_1586517520275.jpg
Jimmy Floyd Hasselbaink,127,https://i0.wp.com/thesefootballtimes.co/wp-content/uploads/2016/07/jimmy-floyd-hasselbaink-chelsea-galeria_pk6i4lslzicl14rprj951ysmg.jpg?fit=2045%2C1534&ssl=1
